,Código,Categoría,Serie,Fecha Inicio,Fecha Fin,Última Actualización,Frecuencia
116,PD38591DD,"Tasas de interés compensatorio	
         - (4 series)","Tasa máxima de interés convencional compensatorio para operaciones de créditos de consumo, créditos de consumo de bajo monto y créditos para pequeñas y microempresas otorgadas por empresas del sistema financiero - ME",10-05-2021,21-07-2023,21-07-2023,D
117,PD38031DD,"Índice de reajuste diario	
         - (1 series)",Índice de reajuste diario,01-07-1991,31-07-2023,05-07-2023,D
118,PN00001MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Externos Netos de Corto Plazo (millones S/),Ene-1992,Jun-2023,20-07-2023,M
119,PN00002MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Externos Netos de Corto Plazo (millones US$),Ene-1992,Jun-2023,20-07-2023,M
120,PN00003MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Externos Netos de Corto Plazo - Activos (millones US$),Ene-1992,Jun-2023,20-07-2023,M
121,PN00004MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Externos Netos de Corto Plazo - Pasivos (millones US$),Ene-1992,Jun-2023,20-07-2023,M
122,PN00005MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Externos Netos de Largo Plazo (millones S/),Ene-1992,Jun-2023,20-07-2023,M
123,PN00006MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Externos Netos de Largo Plazo (millones US$),Ene-1992,Jun-2023,20-07-2023,M
124,PN00007MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Internos Netos (millones S/),Ene-1992,Jun-2023,20-07-2023,M
125,PN00008MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Internos Netos - Sector Público (millones S/),Ene-1992,Jun-2023,20-07-2023,M
126,PN00009MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Internos Netos - Sector Público - MN (millones S/),Ene-1992,Jun-2023,20-07-2023,M
127,PN00010MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Internos Netos - Sector Público - ME (millones S/),Ene-1992,Jun-2023,20-07-2023,M
128,PN00011MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Internos Netos - Sector Público - ME (millones US$),Ene-1992,Jun-2023,20-07-2023,M
129,PN00012MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Internos Netos - Crédito al Sector Privado (millones S/),Ene-1992,Jun-2023,20-07-2023,M
130,PN00013MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Internos Netos - Crédito al Sector Privado - MN (millones S/),Ene-1992,Jun-2023,20-07-2023,M
131,PN00014MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Internos Netos - Crédito al Sector Privado - ME (millones S/),Ene-1992,Jun-2023,20-07-2023,M
132,PN00015MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Internos Netos - Crédito al Sector Privado - ME (millones US$),Ene-1992,Jun-2023,20-07-2023,M
133,PN00016MM,"Cuentas monetarias de las sociedades creadoras de depósito	
         - (16 series)",Activos Internos Netos - Otras Cuentas (millones S/),Ene-1992,Jun-2023,20-07-2023,M
134,RD38085BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Amazonas,Ene-2005,Dic-2021,17-07-2023,M
135,RD38086BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Ancash,Ene-2005,Dic-2021,17-07-2023,M
136,RD38087BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Apurimac,Ene-2005,Dic-2021,17-07-2023,M
137,RD38088BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Arequipa,Ene-2005,Dic-2021,17-07-2023,M
138,RD38089BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Ayacucho,Ene-2005,Dic-2021,17-07-2023,M
139,RD38090BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Cajamarca,Ene-2005,Dic-2021,17-07-2023,M
140,RD38091BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Callao,Ene-2005,Dic-2021,17-07-2023,M
141,RD38092BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Cusco,Ene-2005,Dic-2021,17-07-2023,M
142,RD38093BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Huancavelica,Ene-2005,Dic-2021,17-07-2023,M
143,RD38094BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Huánuco,Ene-2005,Dic-2021,17-07-2023,M
144,RD38095BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Ica,Ene-2005,Dic-2021,17-07-2023,M
